name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Bengaluru,22-05-2022,28.3,21,24,30.6,21,24.5,20.4,80.7,0.4,100,8.33,rain,0,0,50.8,27,255.2,1010.7,72.3,6.3,197.2,17.1,9,10,2022-05-22T05:52:12,2022-05-22T18:38:23,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,23-05-2022,30,20.5,25.1,31.8,20.5,25.8,20.5,77.5,0.2,100,8.33,rain,0,0,45.4,24.1,269.4,1009.9,55.8,7.3,302.5,26,10,10,2022-05-23T05:52:04,2022-05-23T18:38:40,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,24-05-2022,31,21,25.9,33.2,21,26.8,20.7,75,0.1,100,4.17,rain,0,0,34.2,17.6,274.9,1012,50.6,7.5,290.5,25.1,10,30,2022-05-24T05:51:57,2022-05-24T18:38:57,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,25-05-2022,30.3,21.5,25.7,33,21.5,26.5,20.6,74.7,0,0,0,,0,0,33.1,15.7,276.4,1013.4,47.8,6.9,299.9,25.9,10,10,2022-05-25T05:51:51,2022-05-25T18:39:14,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,26-05-2022,30.9,22,25.2,34.3,22,25.9,20.8,77.9,5.3,100,8.33,rain,0,0,29.9,16.9,250.6,1013.4,51.8,6.2,262.5,22.7,10,10,2022-05-26T05:51:46,2022-05-26T18:39:32,0.85,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"43296099999,VOBG,43301099999,42705699999,VOBL,43302599999,43295099999"
Bengaluru,27-05-2022,30.6,21,25.7,31.7,21,25.9,19.3,70.6,1.769,100,4.17,rain,0,0,53.6,17.3,270.1,1013,54.5,6.8,295.3,25.7,10,10,2022-05-27T05:51:41,2022-05-27T18:39:50,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,28-05-2022,30,20.9,25.6,31.1,20.9,26,19.5,71.2,0.2,100,8.33,rain,0,0,37.4,19.4,264.1,1012.4,40.6,6.8,323.3,28,10,10,2022-05-28T05:51:38,2022-05-28T18:40:07,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,29-05-2022,30.7,20.7,25.4,32,20.7,25.8,19.5,71.8,0.4,100,12.5,rain,0,0,36,20.5,261.3,1012.2,39.2,7.2,290.9,25.2,10,10,2022-05-29T05:51:35,2022-05-29T18:40:25,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,30-05-2022,30.2,21.3,25.2,32.2,21.3,26,20.2,74.9,15.255,100,4.17,rain,0,0,29.2,22.3,264.1,1011.4,56.7,6.2,263.9,22.8,10,10,2022-05-30T05:51:33,2022-05-30T18:40:43,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,31-05-2022,29.9,21,24.7,32.6,21,25.5,20.4,78.1,1.231,100,4.17,rain,0,0,41.4,22.3,265.9,1011.1,56.8,6.5,242,20.8,10,30,2022-05-31T05:51:32,2022-05-31T18:41:01,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43296099999,VOBG,43301099999,42705699999,VOBL,43302599999,43295099999"
